City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Klaksvik,FO,62.2266,-6.589,54.52,84,100,27.4,overcast clouds
166,Iskateley,RU,67.6803,53.1512,60.1,61,85,6.98,overcast clouds
167,Soyo,AO,-6.1349,12.3689,72.23,77,5,9.66,clear sky
168,Kununurra,AU,-15.7667,128.7333,66.18,77,8,0.0,clear sky
169,Pokhara,NP,28.2333,83.9833,73.11,98,100,1.01,light rain
170,Muncar,ID,-8.4333,114.3333,75.13,92,77,0.96,broken clouds
171,Mar Del Plata,AR,-38.0023,-57.5575,56.95,60,40,13.8,scattered clouds
172,Khasan,RU,42.4308,130.6434,69.15,75,76,2.26,broken clouds
173,Qaanaaq,GL,77.484,-69.3632,37.08,64,1,5.06,clear sky
174,Luderitz,NA,-26.6481,15.1594,61.59,65,51,13.0,broken clouds
175,Talaya,RU,61.3833,152.75,55.51,81,100,2.21,overcast clouds
176,Balkanabat,TM,39.5108,54.3671,92.26,25,28,5.93,scattered clouds
177,Carutapera,BR,-1.195,-46.02,85.32,66,36,8.28,scattered clouds
178,Beringovskiy,RU,63.05,179.3167,50.95,91,61,11.03,broken clouds
179,Maragogi,BR,-9.0122,-35.2225,79.56,63,5,5.53,clear sky
180,Saint-Georges,GD,12.0564,-61.7485,82.65,78,89,11.41,overcast clouds
181,Takaka,NZ,-40.85,172.8,44.56,85,95,4.07,overcast clouds
182,Goya,AR,-29.14,-59.2626,59.31,50,27,6.44,scattered clouds
183,Olafsvik,IS,64.8945,-23.7142,48.63,79,79,9.48,broken clouds
184,Hualmay,PE,-11.0964,-77.6139,66.6,67,19,9.28,few clouds
185,Namatanai,PG,-3.6667,152.4333,78.4,85,100,5.88,light rain
186,Port Lincoln,AU,-34.7333,135.8667,52.75,77,82,19.66,light rain
187,Pandan,PH,14.0453,124.1694,79.41,84,100,5.12,overcast clouds
188,Gazanjyk,TM,39.2446,55.5154,92.48,19,28,4.65,scattered clouds
189,Husavik,IS,66.0449,-17.3389,47.23,84,95,14.72,overcast clouds
190,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,91.22,49,56,4.79,broken clouds
191,Talnakh,RU,69.4865,88.3972,47.25,86,100,5.77,overcast clouds
192,Gazojak,TM,41.1875,61.4036,84.87,22,0,9.24,clear sky
193,Padang,ID,-0.9492,100.3543,78.12,84,60,3.11,broken clouds
194,Manta,EC,-0.95,-80.7333,76.78,69,100,5.75,overcast clouds
195,Alihe,CN,50.5667,123.7167,53.06,92,83,3.22,light rain
196,Poum,NC,-20.2333,164.0167,69.67,57,0,22.37,clear sky
197,Lakes Entrance,AU,-37.8811,147.981,44.17,70,100,4.65,overcast clouds
198,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,3.44,broken clouds
199,Daru,PG,-9.0763,143.2092,75.54,88,100,16.35,overcast clouds
200,Miramar,US,25.9873,-80.2323,92.01,65,40,12.66,scattered clouds
201,Chicama,PE,-7.8447,-79.1469,61.34,65,63,7.74,broken clouds
202,Japura,ID,-0.3167,102.35,76.3,89,48,2.62,scattered clouds
203,Stornoway,GB,58.2093,-6.3865,63.93,87,75,13.8,broken clouds
204,San Patricio,US,28.017,-97.5169,91.08,49,4,2.8,clear sky
205,Guerrero Negro,MX,27.9769,-114.0611,79.61,58,83,7.87,broken clouds
206,Pedernales,DO,18.0384,-71.744,86.56,61,4,9.35,clear sky
207,Bobcaygeon,CA,44.5462,-78.542,75.15,45,3,4.99,clear sky
208,Naze,JP,28.3667,129.4833,80.17,77,96,4.7,overcast clouds
209,Grootfontein,NA,-19.5667,18.1167,77.92,10,0,3.18,clear sky
210,Miri,MY,4.4148,114.0089,79.12,84,66,2.06,broken clouds
211,Maarianhamina,AX,60.0973,19.9348,66.06,82,0,11.5,clear sky
212,Hay River,CA,60.8156,-115.7999,66.13,51,77,14.5,broken clouds
213,Dikson,RU,73.5069,80.5464,41.23,95,100,12.93,overcast clouds
214,Francisco Sa,BR,-16.4758,-43.4883,87.75,22,40,8.95,scattered clouds
215,Meulaboh,ID,4.1363,96.1285,77.94,83,19,3.62,few clouds
216,Torbay,CA,47.6666,-52.7314,59.58,87,100,18.99,overcast clouds
217,Sapozhok,RU,53.9419,40.6806,67.05,82,86,7.05,overcast clouds
218,Treinta Y Tres,UY,-33.2333,-54.3833,57.15,61,6,7.07,clear sky
219,Coihaique,CL,-45.5752,-72.0662,47.01,76,100,3.44,overcast clouds
220,Jizan,SA,17.3333,42.6667,89.64,65,99,6.44,overcast clouds
221,Muros,ES,42.7762,-9.0603,79.16,68,66,4.65,broken clouds
222,Shanghai,CN,31.2222,121.4581,89.46,83,0,8.95,clear sky
223,Ilulissat,GL,69.2167,-51.1,42.82,93,100,6.91,light intensity drizzle rain
224,Narsaq,GL,60.9167,-46.05,53.82,59,99,4.52,overcast clouds
225,Dongsheng,CN,39.8161,109.9776,68.09,85,5,5.75,clear sky
226,Bilibino,RU,68.0546,166.4372,52.47,95,3,1.34,clear sky
227,Manokwari,ID,-0.8667,134.0833,77.4,81,75,3.67,broken clouds
228,Madimba,TZ,-10.4,40.3333,74.64,76,34,13.65,scattered clouds
229,Isugod,PH,9.3408,118.1196,79.14,85,100,2.04,overcast clouds
230,Kamennogorsk,RU,60.9545,29.1339,71.29,49,61,9.48,broken clouds
231,Cockburn Town,TC,21.4612,-71.1419,81.5,77,7,16.96,clear sky
232,Tiksi,RU,71.6872,128.8694,49.05,93,100,3.96,overcast clouds
233,Beloha,MG,-25.1667,45.05,73.72,45,52,13.2,broken clouds
234,Hasaki,JP,35.7333,140.8333,79.29,91,100,16.75,overcast clouds
235,Thompson,CA,55.7435,-97.8558,66.0,44,0,5.73,clear sky
236,Ust-Kuyga,RU,70.0167,135.6,56.52,70,32,3.29,scattered clouds
237,Nokia,FI,61.4667,23.5,72.01,53,0,11.99,clear sky
238,Lobito,AO,-12.3481,13.5456,70.74,79,0,7.18,clear sky
239,Ojuelos De Jalisco,MX,21.8667,-101.5833,66.49,50,82,8.59,broken clouds
240,Lagoa,PT,39.05,-27.9833,70.99,70,63,6.98,broken clouds
241,Rio Gallegos,AR,-51.6226,-69.2181,42.04,77,76,9.46,broken clouds
242,Qeshm,IR,26.9581,56.2719,96.67,74,100,11.63,overcast clouds
243,Mbandaka,CD,0.0487,18.2603,85.82,46,44,1.12,scattered clouds
244,Saint-Augustin,CA,51.226,-58.6502,66.88,53,1,11.01,clear sky
245,Grafton,US,42.207,-71.6856,76.51,72,100,4.61,overcast clouds
