City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,Tigzirt,DZ,88.23,scattered clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
637,Telfs,AT,82.58,few clouds,47.3,11.0667,Hotel Munde
640,Xinzhi,CN,75.42,overcast clouds,36.4989,111.7047,Mingyue Hotel
641,Martaban,MM,76.19,overcast clouds,16.5314,97.6111,Lu Wa Gyi Guest House
642,Luganville,VU,75.29,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
643,Srandakan,ID,76.51,broken clouds,-7.9386,110.2506,Puri Brata
644,Rosetta,EG,81.79,clear sky,31.4044,30.4164,Green Valley
646,Lanuza,PH,76.96,scattered clouds,9.2342,126.0644,Babak Bungalows Surf and Yoga Resort
647,Lar,IN,86.18,broken clouds,26.2039,83.9717,Ovaiskarni ward Lar
649,Isla Mujeres,MX,86.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
650,San Fernando,PH,78.53,light rain,15.0286,120.6898,Maharlika Hostel
652,Hazorasp,UZ,82.24,clear sky,41.3194,61.0742,Kemping wifi hotel
655,Beyla,GN,75.85,moderate rain,8.6833,-8.6333,DIAN SINKO
657,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
660,Vieux Fort,LC,87.15,broken clouds,13.7167,-60.95,Cedar Palm Villa
